City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
134,Vardo,NO,70.3705,31.1107,42.78,70,75,6.91,broken clouds
135,Lorengau,PG,-2.0226,147.2712,80.58,71,17,5.7,few clouds
136,Dudinka,RU,69.4058,86.1778,51.62,51,13,7.96,few clouds
137,Turayf,SA,31.6725,38.6637,80.4,18,0,9.06,clear sky
138,Bardiyah,LY,31.7561,25.0865,88.05,34,30,13.22,scattered clouds
139,Alofi,NU,-19.0595,-169.9187,78.62,70,94,18.86,overcast clouds
140,Flinders,AU,-34.5833,150.8552,49.37,73,2,8.46,clear sky
141,Roverud,NO,60.2521,12.055,57.45,91,10,7.81,clear sky
142,Verkhovye,RU,52.8119,37.2425,63.09,89,100,6.4,overcast clouds
143,Aqtobe,KZ,50.2797,57.2072,53.69,82,0,4.47,clear sky
144,Kapit,MY,2.0167,112.9333,73.22,100,100,1.36,moderate rain
145,Narsaq,GL,60.9167,-46.05,59.22,57,100,5.21,overcast clouds
146,Pakpattan,PK,30.341,73.3866,97.03,16,0,12.68,clear sky
147,Umba,RU,66.6871,34.3429,48.78,75,100,5.66,overcast clouds
148,Kudahuvadhoo,MV,2.6708,72.8944,82.69,73,100,9.26,overcast clouds
149,Avarua,CK,-21.2078,-159.775,78.85,57,40,14.97,scattered clouds
150,Mugla,TR,37.2303,28.3557,62.56,71,89,4.97,overcast clouds
151,Severo-Kurilsk,RU,50.6789,156.125,43.83,92,99,10.11,overcast clouds
152,Nadym,RU,65.5333,72.5167,57.42,76,99,11.3,overcast clouds
153,Kununurra,AU,-15.7667,128.7333,62.58,36,26,5.75,scattered clouds
154,Pangnirtung,CA,66.1451,-65.7125,34.34,97,94,2.98,overcast clouds
155,Carnarvon,AU,-24.8667,113.6333,69.48,69,2,7.99,clear sky
156,Shingu,JP,33.7333,135.9833,67.66,90,100,5.03,heavy intensity rain
157,Xining,CN,36.6167,101.7667,53.38,61,76,1.99,broken clouds
158,Hay River,CA,60.8156,-115.7999,65.53,49,54,1.41,broken clouds
159,Sarkand,KZ,45.41,79.9186,70.48,36,93,8.63,overcast clouds
160,Hermanus,ZA,-34.4187,19.2345,64.22,40,51,10.63,broken clouds
161,Nouakchott,MR,18.0858,-15.9785,73.33,82,99,12.28,overcast clouds
162,Foso,GH,5.7012,-1.2866,73.06,96,100,4.76,overcast clouds
163,Ribeira Grande,PT,38.5167,-28.7,64.8,100,75,5.75,broken clouds
164,Palaikastron,GR,35.2,26.25,73.54,67,3,9.53,clear sky
165,Timizart,DZ,36.8,4.2667,62.19,74,0,4.41,clear sky
166,Asau,RO,46.4333,26.4,59.95,94,67,5.46,broken clouds
167,Mount Isa,AU,-20.7333,139.5,49.77,50,11,10.36,few clouds
168,Baryatino,RU,54.3121,34.521,62.06,86,72,0.83,broken clouds
169,Saint-Joseph,RE,-21.3667,55.6167,64.78,78,42,10.74,scattered clouds
170,Espinosa,BR,-14.9261,-42.8192,74.26,30,0,3.51,clear sky
171,Tura,IN,25.5198,90.2201,72.25,96,100,6.22,overcast clouds
172,Micasasa,RO,46.0833,24.1167,66.42,82,44,0.76,scattered clouds
173,Mendeleyevo,RU,56.0333,37.2167,65.88,59,0,6.71,clear sky
174,Cidreira,BR,-30.1811,-50.2056,52.68,57,46,19.53,scattered clouds
175,Waddan,LY,29.1614,16.139,76.5,52,1,19.01,clear sky
176,Burns Lake,CA,54.2331,-125.7533,63.79,38,61,8.14,broken clouds
177,Puerto Parra,CO,6.6515,-74.0573,91.2,49,65,2.15,broken clouds
178,Port Macquarie,AU,-31.4333,152.9167,45.48,76,0,7.45,clear sky
179,Tiarei,PF,-17.5333,-149.3333,82.42,75,16,10.83,light rain
180,Waingapu,ID,-9.6567,120.2641,78.03,86,100,11.79,overcast clouds
181,East London,ZA,-33.0153,27.9116,61.84,66,0,8.37,clear sky
182,Guerrero Negro,MX,27.9769,-114.0611,79.18,52,14,12.03,few clouds
183,Katsuura,JP,35.1333,140.3,69.24,83,100,6.8,moderate rain
184,Karhal,IN,27.0003,78.9414,96.06,19,6,9.95,clear sky
185,Comodoro Rivadavia,AR,-45.8667,-67.5,46.26,25,0,3.44,clear sky
186,Stephenville,US,32.2207,-98.2023,101.77,33,0,5.75,clear sky
187,Haines Junction,CA,60.7522,-137.5108,53.82,70,100,8.03,light rain
188,Berlevag,NO,70.8578,29.0864,42.8,75,40,17.27,scattered clouds
189,Sipe Sipe,BO,-17.45,-66.3833,61.29,50,100,10.2,overcast clouds
190,Rudnogorsk,RU,57.2639,103.7519,48.97,63,10,1.9,clear sky
191,Cabo San Lucas,MX,22.8909,-109.9124,90.61,45,0,6.91,clear sky
192,Yerofey Pavlovich,RU,53.9667,121.9667,56.12,51,6,2.33,clear sky
193,Karaman,TR,37.0833,33.25,66.43,59,0,1.32,clear sky
194,Conceicao Do Araguaia,BR,-8.2578,-49.2647,82.47,48,10,3.85,clear sky
195,Upernavik,GL,72.7868,-56.1549,31.78,79,16,10.67,few clouds
196,Warmbad,NA,-28.45,18.7333,62.24,28,29,16.53,scattered clouds
197,Kaitangata,NZ,-46.2817,169.8464,36.1,92,24,5.48,few clouds
198,Esperance,AU,-33.8667,121.9,55.78,59,94,17.43,overcast clouds
199,Port Alfred,ZA,-33.5906,26.891,62.96,69,0,10.51,clear sky
200,Tucuman,AR,-26.8241,-65.2226,55.4,71,75,1.14,broken clouds
201,Yadgir,IN,16.7667,77.1333,81.81,65,100,13.15,overcast clouds
202,Makakilo City,US,21.3469,-158.0858,82.72,52,0,13.8,clear sky
203,Birsk,RU,55.4211,55.5428,55.11,95,86,6.38,light rain
204,Shitanjing,CN,39.2342,106.3439,57.69,32,53,8.21,broken clouds
205,Marsh Harbour,BS,26.5412,-77.0636,83.43,67,30,9.31,moderate rain
206,Hami,CN,42.8,93.45,72.43,10,27,9.55,scattered clouds
207,Yara,CU,20.2753,-76.9533,88.63,53,57,6.22,broken clouds
208,Cap-Chat,CA,49.1001,-66.6821,52.66,98,100,14.47,overcast clouds
209,Huarmey,PE,-10.0681,-78.1522,68.72,74,49,10.47,scattered clouds
210,Katobu,ID,-4.9408,122.5276,73.87,96,99,2.93,overcast clouds
211,Kenai,US,60.5544,-151.2583,65.03,57,20,10.36,few clouds
212,Naze,JP,28.3667,129.4833,74.32,92,100,22.24,light rain
213,Morant Bay,JM,17.8815,-76.4093,89.71,70,100,10.58,overcast clouds
214,Hithadhoo,MV,-0.6,73.0833,84.22,70,64,11.03,broken clouds
215,Mackay,AU,-21.15,149.2,43.68,58,65,11.54,broken clouds
216,Salinopolis,BR,-0.6136,-47.3561,80.69,77,90,10.29,overcast clouds
217,Port Lincoln,AU,-34.7333,135.8667,56.03,77,99,7.72,overcast clouds
218,Rocha,UY,-34.4833,-54.3333,43.38,58,24,14.2,few clouds
219,Chicama,PE,-7.8447,-79.1469,61.34,67,21,9.66,few clouds
220,Chekhov,RU,55.1431,37.4711,64.29,84,29,4.09,scattered clouds
221,Narasannapeta,IN,18.4167,84.05,85.89,59,100,4.38,overcast clouds
222,Victoria,HK,22.2855,114.1577,80.65,94,100,4.0,overcast clouds
223,Poum,NC,-20.2333,164.0167,75.61,81,97,19.22,overcast clouds
224,Indramayu,ID,-6.3264,108.32,79.84,80,85,7.83,overcast clouds
225,Seoul,KR,37.5683,126.9778,63.84,65,100,3.42,overcast clouds
226,Dingle,PH,10.9995,122.6711,76.05,89,86,3.0,light rain
227,Fort Nelson,CA,58.8053,-122.7002,56.34,87,100,3.06,light rain
228,Nizwa,OM,22.9333,57.5333,92.57,15,0,4.29,clear sky
229,Mayahi,NE,13.9553,7.6712,92.53,27,96,5.53,overcast clouds
230,Komsomolskiy,UZ,40.4272,71.7189,74.21,41,14,3.22,few clouds
231,Tobermory,CA,45.2501,-81.6665,50.76,77,5,12.8,clear sky
232,Vao,NC,-22.6667,167.4833,72.34,81,98,15.84,overcast clouds
233,Bandar-E Anzali,IR,37.4727,49.4622,69.62,69,1,4.54,clear sky
234,Cape Town,ZA,-33.9258,18.4232,66.11,41,94,3.0,overcast clouds
235,Kahului,US,20.8947,-156.47,86.02,66,20,19.57,few clouds
236,Kleive,NO,62.7954,7.6359,58.71,88,75,11.5,broken clouds
237,Georgetown,MY,5.4112,100.3354,78.73,89,20,0.0,few clouds
238,Angoche,MZ,-16.2325,39.9086,69.26,78,0,9.13,clear sky
239,Luis Correia,BR,-2.8792,-41.6669,84.2,84,20,8.05,few clouds
240,Port Elizabeth,ZA,-33.918,25.5701,61.32,59,0,4.0,clear sky
241,Trencin,SK,48.8333,18.25,61.97,84,10,7.76,clear sky
242,Adre,TD,13.4667,22.2,85.93,39,80,4.14,broken clouds
243,Kaeo,NZ,-35.1,173.7833,57.33,96,20,14.14,few clouds
244,Egvekinot,RU,66.3167,-179.1667,45.01,40,100,2.17,overcast clouds
245,Amli,IN,20.2833,73.0167,83.05,76,98,7.0,overcast clouds
246,Pangkalanbuun,ID,-2.6833,111.6167,73.85,97,88,1.61,overcast clouds
247,Te Anau,NZ,-45.4167,167.7167,37.69,90,100,1.95,light rain
248,Atar,MR,20.5169,-13.0499,97.25,13,4,14.38,clear sky
249,Borovoy,RU,55.4333,86.0833,61.88,55,0,6.71,clear sky
250,Tessalit,ML,20.1986,1.0114,94.12,7,1,5.03,clear sky
251,Buala,SB,-8.145,159.5921,81.12,75,15,4.56,few clouds
252,Otavi,NA,-19.65,17.3333,55.89,32,0,7.52,clear sky
253,Kimbe,PG,-5.5502,150.1429,75.92,92,13,3.0,few clouds
254,Visnes,NO,59.3556,5.2242,56.82,88,100,13.8,overcast clouds
255,Salalah,OM,17.0151,54.0924,86.09,84,75,8.05,broken clouds
256,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,91,71,4.34,broken clouds
257,Yanai,JP,33.9667,132.1167,71.6,95,100,3.62,heavy intensity rain
258,Roald,NO,62.5833,6.1333,60.17,94,75,5.75,broken clouds
259,Provideniya,RU,64.3833,-173.3,48.61,35,100,7.2,overcast clouds
260,Byron Bay,AU,-28.65,153.6167,47.16,77,0,8.37,clear sky
261,Simao,CN,22.7886,100.9748,65.53,100,100,2.3,overcast clouds
262,Celestun,MX,20.8667,-90.4,84.81,70,8,13.15,clear sky
263,Richards Bay,ZA,-28.783,32.0377,62.6,87,4,5.26,clear sky
264,Khani,GE,41.9563,42.9566,58.57,94,20,4.99,light rain
265,San Juan Bautista,PE,-14.0108,-75.7358,80.37,33,0,9.04,clear sky
266,Tandahimba,TZ,-10.75,39.6333,65.44,97,60,3.89,broken clouds
267,The Valley,AI,18.217,-63.0578,84.81,74,40,11.5,scattered clouds
268,Faya,SA,18.3851,42.4509,70.32,13,9,6.55,clear sky
269,Pouembout,NC,-21.1333,164.9,72.28,90,96,2.59,overcast clouds
270,Alekseyevsk,RU,57.8406,108.3492,51.33,69,74,1.05,broken clouds
271,Dakar,SN,14.6937,-17.4441,77.88,84,4,13.02,clear sky
272,Sambava,MG,-14.2667,50.1667,72.55,78,97,10.07,light rain
273,Banjar,ID,-8.19,114.9675,76.66,88,64,3.24,broken clouds
274,Bagdarin,RU,54.4333,113.6,52.63,90,83,2.68,broken clouds
275,Talcahuano,CL,-36.7167,-73.1167,56.88,58,0,6.91,clear sky
276,Sobolevo,RU,54.4299,31.8996,63.27,89,75,4.0,broken clouds
277,Saint-Augustin,CA,51.226,-58.6502,51.37,97,100,12.64,overcast clouds
278,Kropotkin,RU,45.4375,40.5756,67.06,74,94,3.22,overcast clouds
279,Phalodi,IN,27.1333,72.3667,86.45,50,0,19.39,clear sky
280,Hambantota,LK,6.1241,81.1185,79.47,84,91,17.36,overcast clouds
281,Hirado,JP,33.3597,129.5531,67.39,90,100,5.77,light rain
282,Ponta Do Sol,PT,32.6667,-17.1,72.72,73,0,5.41,clear sky
283,Visby,SE,57.6409,18.296,61.02,82,13,6.91,few clouds
284,Tiksi,RU,71.6872,128.8694,39.76,76,8,5.64,clear sky
285,Nizhniy Tsasuchey,RU,50.5167,115.1333,55.35,74,18,7.2,few clouds
286,Nizhniy Ufaley,RU,55.9153,59.9842,48.83,98,91,4.97,overcast clouds
287,Mandalgovi,MN,45.7625,106.2708,42.85,85,100,33.6,overcast clouds
288,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,81.34,31,55,4.03,broken clouds
289,Micheweni,TZ,-4.9667,39.8333,77.5,79,40,12.62,light rain
290,Aykhal,RU,66.0,111.5,43.9,76,79,10.71,broken clouds
291,Mpika,ZM,-11.8343,31.4529,52.18,80,1,5.97,clear sky
292,Kidal,ML,18.4411,1.4078,94.87,8,2,6.76,clear sky
293,Quatre Cocos,MU,-20.2078,57.7625,69.1,82,49,13.67,light rain
294,Anzio,IT,41.4853,12.6179,73.99,70,0,8.32,clear sky
295,Namibe,AO,-15.1961,12.1522,71.29,68,0,3.56,clear sky
296,Plettenberg Bay,ZA,-34.0527,23.3716,64.2,41,2,7.49,clear sky
297,Freeport,US,40.6576,-73.5832,81.28,43,40,9.22,scattered clouds
298,Korla,CN,41.7597,86.1469,79.5,20,80,18.14,broken clouds
299,Port Blair,IN,11.6667,92.75,82.09,80,100,16.26,overcast clouds
300,Grenfell,AU,-33.9,148.1667,44.24,78,100,12.71,overcast clouds
301,Mokobeng,BW,-22.9965,27.6678,51.98,55,0,5.21,clear sky
302,Kangaatsiaq,GL,68.3065,-53.4641,33.4,85,64,11.18,broken clouds
303,Fairlie,GB,55.756,-4.8556,58.86,83,51,21.7,broken clouds
304,Batagay-Alyta,RU,67.8006,130.4114,52.05,50,32,6.46,scattered clouds
305,Barra Do Bugres,BR,-15.0725,-57.1811,67.57,98,100,2.89,overcast clouds
306,Norrkoping,SE,58.5942,16.1826,58.57,80,3,6.91,clear sky
307,Reinosa,ES,42.9996,-4.138,56.46,98,46,5.12,scattered clouds
308,Porangatu,BR,-13.4408,-49.1486,80.11,33,82,3.98,broken clouds
309,Realeza,BR,-25.7689,-53.5325,53.69,85,98,3.18,overcast clouds
310,Nizhniy Odes,RU,63.6445,54.856,57.04,65,81,3.87,broken clouds
311,Decatur,US,39.8403,-88.9548,72.81,83,100,6.91,overcast clouds
312,Sahuaripa,MX,29.05,-109.2333,103.55,23,7,11.01,clear sky
313,Najran,SA,17.4924,44.1277,82.26,15,36,3.58,scattered clouds
314,Cubara,CO,7.0008,-72.1085,82.96,64,68,2.57,light rain
315,Caconda,AO,-13.7333,15.0667,53.78,49,0,5.41,clear sky
316,Yumen,CN,40.2833,97.2,62.55,15,100,13.35,overcast clouds
317,Constitucion,CL,-35.3333,-72.4167,56.05,59,0,9.82,clear sky
318,Necochea,AR,-38.5473,-58.7368,48.42,63,100,23.35,overcast clouds
319,Maniitsoq,GL,65.4167,-52.9,38.84,90,80,4.52,light rain
320,Mayskiy,RU,47.6931,40.1025,62.01,55,0,7.09,clear sky
321,Pokhara,NP,28.2333,83.9833,72.55,83,96,3.02,overcast clouds
322,Caravelas,BR,-17.7125,-39.2481,72.18,83,63,6.06,broken clouds
323,Souillac,MU,-20.5167,57.5167,70.75,82,37,11.27,light rain
324,Joshimath,IN,30.5667,79.5667,64.33,59,36,4.41,scattered clouds
325,Tomatlan,MX,19.9333,-105.25,90.12,50,82,7.81,broken clouds
326,Northam,GB,51.0333,-4.2167,57.61,87,0,13.58,clear sky
327,Benguela,AO,-12.5763,13.4055,72.19,63,0,3.15,clear sky
