City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
263,Richards Bay,ZA,62.6,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
264,Khani,GE,58.57,light rain,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
265,San Juan Bautista,PE,80.37,clear sky,-14.0108,-75.7358,Hotel Las Dunas
266,Tandahimba,TZ,65.44,broken clouds,-10.75,39.6333,Azam Rest Home
267,The Valley,AI,84.81,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
268,Faya,SA,70.32,clear sky,18.3851,42.4509,املاك خالد الشعشوع
269,Pouembout,NC,72.28,overcast clouds,-21.1333,164.9,Camping de Tipenga
271,Dakar,SN,77.88,clear sky,14.6937,-17.4441,Novotel Dakar
272,Sambava,MG,72.55,light rain,-14.2667,50.1667,Melrose
273,Banjar,ID,76.66,broken clouds,-8.19,114.9675,The Hamsa Resort
274,Bagdarin,RU,52.63,broken clouds,54.4333,113.6,Gostevoy Dom Terem
275,Talcahuano,CL,56.88,clear sky,-36.7167,-73.1167,departamento comodo
278,Kropotkin,RU,67.06,overcast clouds,45.4375,40.5756,Hotel Europe Kropotkin
279,Phalodi,IN,86.45,clear sky,27.1333,72.3667,"HOTEL NEW GOLDEN PALACE , PHALODI"
280,Hambantota,LK,79.47,overcast clouds,6.1241,81.1185,Bungalow 63
281,Hirado,JP,67.39,light rain,33.3597,129.5531,Samson Hotel
282,Ponta Do Sol,PT,72.72,clear sky,32.6667,-17.1,Hotel do Campo
283,Visby,SE,61.02,few clouds,57.6409,18.296,Best Western Solhem Hotel Visby
284,Tiksi,RU,39.76,clear sky,71.6872,128.8694,Arktika
287,Mandalgovi,MN,42.85,overcast clouds,45.7625,106.2708,В.Ганбат
288,Sao Miguel Do Araguaia,BR,81.34,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
291,Mpika,ZM,52.18,clear sky,-11.8343,31.4529,Melodies Lodge
293,Quatre Cocos,MU,69.1,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
294,Anzio,IT,73.99,clear sky,41.4853,12.6179,Hotel Lido Garda
295,Namibe,AO,71.29,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
296,Plettenberg Bay,ZA,64.2,clear sky,-34.0527,23.3716,Thanda Vista B&B
297,Freeport,US,81.28,scattered clouds,40.6576,-73.5832,The Freeport Inn and Marina
298,Korla,CN,79.5,broken clouds,41.7597,86.1469,Gulisitan Hotel
299,Port Blair,IN,82.09,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
300,Grenfell,AU,44.24,overcast clouds,-33.9,148.1667,Grenfell Royal Hotel
301,Mokobeng,BW,51.98,clear sky,-22.9965,27.6678,Omphile B. Molefhe
302,Kangaatsiaq,GL,33.4,broken clouds,68.3065,-53.4641,Nukissiorfiit
303,Fairlie,GB,58.86,broken clouds,55.756,-4.8556,Brisbane House Hotel
305,Barra Do Bugres,BR,67.57,overcast clouds,-15.0725,-57.1811,Hotel 4AM Petrofurt
306,Norrkoping,SE,58.57,clear sky,58.5942,16.1826,The Lamp Hotel
307,Reinosa,ES,56.46,scattered clouds,42.9996,-4.138,Hotel Vejo
308,Porangatu,BR,80.11,broken clouds,-13.4408,-49.1486,Wembley Park Hotel
309,Realeza,BR,53.69,overcast clouds,-25.7689,-53.5325,Hotel Renascer
310,Nizhniy Odes,RU,57.04,broken clouds,63.6445,54.856,Gostinitsa Uyut
311,Decatur,US,72.81,overcast clouds,39.8403,-88.9548,Haworth Cottage
312,Sahuaripa,MX,103.55,clear sky,29.05,-109.2333,Estatua de Sahuaripa
313,Najran,SA,82.26,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
314,Cubara,CO,82.96,light rain,7.0008,-72.1085,Hotel Los Amigos
317,Constitucion,CL,56.05,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
318,Necochea,AR,48.42,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
319,Maniitsoq,GL,38.84,light rain,65.4167,-52.9,Hotel Heilmann Lyberth
320,Mayskiy,RU,62.01,clear sky,47.6931,40.1025,Dio Lakrua
321,Pokhara,NP,72.55,overcast clouds,28.2333,83.9833,OYO 170 Hotel View Point
322,Caravelas,BR,72.18,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
323,Souillac,MU,70.75,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
324,Joshimath,IN,64.33,scattered clouds,30.5667,79.5667,Shivalik Camps & Resort
325,Tomatlan,MX,90.12,broken clouds,19.9333,-105.25,El Salvial
326,Northam,GB,57.61,clear sky,51.0333,-4.2167,Durrant House Hotel
327,Benguela,AO,72.19,clear sky,-12.5763,13.4055,Hotel Praia Morena
328,Ahipara,NZ,60.17,few clouds,-35.1667,173.1667,Ahipara Holiday Park
329,Vergara,UY,45.61,clear sky,-32.9333,-53.95,Cabaña Pádel Vergara
330,Cherskiy,RU,67.71,scattered clouds,68.75,161.3,Gostinitsa
331,Morococha,PE,44.85,overcast clouds,-11.5997,-76.1411,Hospedaje Havipor
333,Atherton,GB,60.22,clear sky,53.5237,-2.4935,The Mercury Motel
334,Havoysund,NO,43.03,overcast clouds,70.9963,24.6622,Arctic View Glamping & Restaurant
336,Dawei,MM,76.71,overcast clouds,14.0833,98.2,Hotel Dawei
337,Grindavik,IS,58.95,clear sky,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
338,Honningsvag,NO,42.55,broken clouds,70.9821,25.9704,Nordkapp Vandrerhjem
339,Kargasok,RU,61.09,overcast clouds,59.0556,80.8572,Hotel Kargasok
340,Padang,ID,75.58,overcast clouds,-0.9492,100.3543,Mercure Padang
341,Marawi,PH,67.53,few clouds,7.9986,124.2928,Derogongan Residence
342,Belyy Yar,RU,51.85,clear sky,53.6039,91.3903,Pasportnyy Stol
344,Ghanzi,BW,52.88,clear sky,-21.5667,21.7833,Ghanzi Farmhouse
345,Sitka,US,53.49,light rain,57.0531,-135.33,Westmark Sitka
346,Fare,PF,80.15,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
347,Coahuayana,MX,89.98,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
348,Marsa Matruh,EG,80.64,clear sky,31.3525,27.2453,Beau Site
349,Ekpoma,NG,70.66,broken clouds,6.7421,6.139,Alice Hotels
350,Ejido,VE,74.66,overcast clouds,8.5514,-71.2375,Bora Bora Nails & Spa C.A.
351,Vostochnyy,RU,66.38,scattered clouds,55.8167,37.8667,MarianHall
352,Ostersund,SE,58.6,few clouds,63.1792,14.6357,Best Western Hotel Gamla Teatern
353,Road Town,VG,84.29,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
354,Gatton,AU,45.21,clear sky,-27.55,152.2833,Room Motels Gatton
355,Torbay,CA,61.29,overcast clouds,47.6666,-52.7314,Gallows Cove
356,Ancud,CL,44.74,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
